"event_name","genre","segment","address","city","localdate","local_time","url"
"event_name","genre","segment","address","city","localdate","localtime","url"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3KY92/001/TURKIYE/tr"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3KY92/002/TURKIYE/tr"
"Bir Delinin Hatıra Defteri","Theatre","Arts & Theatre","TED Ankara Koleji Vakfı Okulları 2800.Cadde No:5 İncek","Ankara","2024-02-22","20:30:00","https://www.biletix.com/performance/36S44/001/TURKIYE/tr"
"Salih Tıraş Yöresel Tatlar Stand Up","Comedy","Arts & Theatre","Ömeroğlu, Şht. Yzb. Yusuf Ziya Ertem Cd. No:17, 06710","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM44/001/TURKIYE/tr"
"Furkan Güner - Tek Kişilik Stand Up","Comedy","Arts & Theatre","Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM37/001/TURKIYE/tr"
"Furkan Bozdağ Tek Kişilik Stand Up","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3FS22/001/TURKIYE/tr"
"Lafazans Stand Up Gecesi (late night)","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-23","22:30:00","https://www.biletix.com/performance/3FS14/003/TURKIYE/tr"
"Ankara Stand Up Gecesi","Comedy","Arts & Theatre","None","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3M046/001/TURKIYE/tr"
"Tatlı Kaçık","Theatre","Arts & Theatre","Turan Güneş Bulvarı No:182/235 Panora AVM Kat:2","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3PN37/001/TURKIYE/tr"
"7 Kocalı Hürmüz","Theatre","Arts & Theatre","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3RS23/001/TURKIYE/tr"
"Ecem Önol ile Türkçe Pop","Pop","Music","None","Ankara","2024-02-22","21:00:00","https://www.biletix.com/performance/3RX34/001/TURKIYE/tr"
"Boşanma Teklifi","Theatre","Arts & Theatre","Maltepe, Gazi Mustafa Kemal Blv. 65/A, 06670","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3CX38/001/TURKIYE/tr"
"Lalalar","Alternative","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-22","22:00:00","https://www.biletix.com/performance/2HM32/001/TURKIYE/tr"
"Çıkın Evimden","Theatre","Arts & Theatre","Koru, 2432. Cd. No:192, 06810","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3AZ08/004/TURKIYE/tr"
"Berna Tuğçe Çil - Dirty Talk Show","Comedy","Arts & Theatre","Oran Mah, Panora Alışveriş Ve Yaşam Merkezi 182, Turan Güneş Blv., 06450","Ankara","2024-02-23","20:30:00","https://www.biletix.com/performance/3AZ01/001/TURKIYE/tr"
"Eşeğin Gölgesinde","Theatre","Arts & Theatre","Bilkent Center","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3AS02/001/TURKIYE/tr"
"Seksendört","Pop","Music","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FUST/001/TURKIYE/tr"
"Emre Aydın","Pop","Music","Kızılırmak Cad. No: 14","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3VV04/001/TURKIYE/tr"
"Jazz Covers of Pop - Zeynep Sazak","Jazz","Music","Sheraton Ankara Hotel GOP Mah. Noktalı Sokak 06700","Ankara","2024-02-23","21:30:00","https://www.biletix.com/performance/3OZ05/004/TURKIYE/tr"
"Dj Hakan Küfündür ile 90'lar & 2000'ler Türkçe Pop Parti","Pop","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3ROAI/001/TURKIYE/tr"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3KY92/001/TURKIYE/tr"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3KY92/002/TURKIYE/tr"
"Bir Delinin Hatıra Defteri","Theatre","Arts & Theatre","TED Ankara Koleji Vakfı Okulları 2800.Cadde No:5 İncek","Ankara","2024-02-22","20:30:00","https://www.biletix.com/performance/36S44/001/TURKIYE/tr"
"Salih Tıraş Yöresel Tatlar Stand Up","Comedy","Arts & Theatre","Ömeroğlu, Şht. Yzb. Yusuf Ziya Ertem Cd. No:17, 06710","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM44/001/TURKIYE/tr"
"Furkan Güner - Tek Kişilik Stand Up","Comedy","Arts & Theatre","Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM37/001/TURKIYE/tr"
"Furkan Bozdağ Tek Kişilik Stand Up","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3FS22/001/TURKIYE/tr"
"Lafazans Stand Up Gecesi (late night)","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-23","22:30:00","https://www.biletix.com/performance/3FS14/003/TURKIYE/tr"
"Ankara Stand Up Gecesi","Comedy","Arts & Theatre","None","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3M046/001/TURKIYE/tr"
"Tatlı Kaçık","Theatre","Arts & Theatre","Turan Güneş Bulvarı No:182/235 Panora AVM Kat:2","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3PN37/001/TURKIYE/tr"
"7 Kocalı Hürmüz","Theatre","Arts & Theatre","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3RS23/001/TURKIYE/tr"
"Ecem Önol ile Türkçe Pop","Pop","Music","None","Ankara","2024-02-22","21:00:00","https://www.biletix.com/performance/3RX34/001/TURKIYE/tr"
"Boşanma Teklifi","Theatre","Arts & Theatre","Maltepe, Gazi Mustafa Kemal Blv. 65/A, 06670","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3CX38/001/TURKIYE/tr"
"Lalalar","Alternative","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-22","22:00:00","https://www.biletix.com/performance/2HM32/001/TURKIYE/tr"
"Çıkın Evimden","Theatre","Arts & Theatre","Koru, 2432. Cd. No:192, 06810","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3AZ08/004/TURKIYE/tr"
"Berna Tuğçe Çil - Dirty Talk Show","Comedy","Arts & Theatre","Oran Mah, Panora Alışveriş Ve Yaşam Merkezi 182, Turan Güneş Blv., 06450","Ankara","2024-02-23","20:30:00","https://www.biletix.com/performance/3AZ01/001/TURKIYE/tr"
"Eşeğin Gölgesinde","Theatre","Arts & Theatre","Bilkent Center","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3AS02/001/TURKIYE/tr"
"Seksendört","Pop","Music","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FUST/001/TURKIYE/tr"
"Emre Aydın","Pop","Music","Kızılırmak Cad. No: 14","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3VV04/001/TURKIYE/tr"
"Jazz Covers of Pop - Zeynep Sazak","Jazz","Music","Sheraton Ankara Hotel GOP Mah. Noktalı Sokak 06700","Ankara","2024-02-23","21:30:00","https://www.biletix.com/performance/3OZ05/004/TURKIYE/tr"
"Dj Hakan Küfündür ile 90'lar & 2000'ler Türkçe Pop Parti","Pop","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3ROAI/001/TURKIYE/tr"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3KY92/001/TURKIYE/tr"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3KY92/002/TURKIYE/tr"
"Bir Delinin Hatıra Defteri","Theatre","Arts & Theatre","TED Ankara Koleji Vakfı Okulları 2800.Cadde No:5 İncek","Ankara","2024-02-22","20:30:00","https://www.biletix.com/performance/36S44/001/TURKIYE/tr"
"Salih Tıraş Yöresel Tatlar Stand Up","Comedy","Arts & Theatre","Ömeroğlu, Şht. Yzb. Yusuf Ziya Ertem Cd. No:17, 06710","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM44/001/TURKIYE/tr"
"Furkan Güner - Tek Kişilik Stand Up","Comedy","Arts & Theatre","Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM37/001/TURKIYE/tr"
"Furkan Bozdağ Tek Kişilik Stand Up","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3FS22/001/TURKIYE/tr"
"Lafazans Stand Up Gecesi (late night)","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-23","22:30:00","https://www.biletix.com/performance/3FS14/003/TURKIYE/tr"
"Ankara Stand Up Gecesi","Comedy","Arts & Theatre","None","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3M046/001/TURKIYE/tr"
"Tatlı Kaçık","Theatre","Arts & Theatre","Turan Güneş Bulvarı No:182/235 Panora AVM Kat:2","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3PN37/001/TURKIYE/tr"
"7 Kocalı Hürmüz","Theatre","Arts & Theatre","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3RS23/001/TURKIYE/tr"
"Ecem Önol ile Türkçe Pop","Pop","Music","None","Ankara","2024-02-22","21:00:00","https://www.biletix.com/performance/3RX34/001/TURKIYE/tr"
"Boşanma Teklifi","Theatre","Arts & Theatre","Maltepe, Gazi Mustafa Kemal Blv. 65/A, 06670","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3CX38/001/TURKIYE/tr"
"Lalalar","Alternative","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-22","22:00:00","https://www.biletix.com/performance/2HM32/001/TURKIYE/tr"
"Çıkın Evimden","Theatre","Arts & Theatre","Koru, 2432. Cd. No:192, 06810","Ankara","2024-02-22","20:00:00","https://www.biletix.com/performance/3AZ08/004/TURKIYE/tr"
"Berna Tuğçe Çil - Dirty Talk Show","Comedy","Arts & Theatre","Oran Mah, Panora Alışveriş Ve Yaşam Merkezi 182, Turan Güneş Blv., 06450","Ankara","2024-02-23","20:30:00","https://www.biletix.com/performance/3AZ01/001/TURKIYE/tr"
"Eşeğin Gölgesinde","Theatre","Arts & Theatre","Bilkent Center","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3AS02/001/TURKIYE/tr"
"Seksendört","Pop","Music","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FUST/001/TURKIYE/tr"
"Emre Aydın","Pop","Music","Kızılırmak Cad. No: 14","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3VV04/001/TURKIYE/tr"
"Jazz Covers of Pop - Zeynep Sazak","Jazz","Music","Sheraton Ankara Hotel GOP Mah. Noktalı Sokak 06700","Ankara","2024-02-23","21:30:00","https://www.biletix.com/performance/3OZ05/004/TURKIYE/tr"
"Dj Hakan Küfündür ile 90'lar & 2000'ler Türkçe Pop Parti","Pop","Music","Tunus Cad. No:66 Kavaklıdere","Ankara","2024-02-23","21:00:00","https://www.biletix.com/performance/3ROAI/001/TURKIYE/tr"
